,tweet,text_clean,text_preprocessed
0,"@aiistwts @worksfess mba kebalikannyaa aku, aku dr lahir tangerang,pernah kerja jakarta naik umum, ikut suami ke jatim, bahagia dunia akhirat,karena gak pernah kena macet laknat lg kayak di ibukota heheheheh",mbak kebalikannyaa aku aku dari lahir tangerangpernah kerja jakarta naik umum ikut suami ke jatim bahagia dunia akhiratkarena enggak pernah kena macet laknat lagi kayak di ibukota heheheheh,"['mbak', 'kebalikannya', 'aku', 'aku', 'dari', 'lahir', 'tangerangpernah', 'kerja', 'jakarta', 'naik', 'umum', 'ikut', 'suami', 'ke', 'jatim', 'bahagia', 'dunia', 'akhiratkarena', 'enggak', 'pernah', 'kena', 'macet', 'laknat', 'lagi', 'kayak', 'di', 'ibukota', 'heheheheh']"
1,@septinolan kucing ibukota kak,kucing ibukota kak,"['kucing', 'ibukota', 'kak']"
2,@parkaeriiii iya biar kuat menghadapi kerasnya ibukota 😂,iya biar kuat menghadapi kerasnya ibukota 😂,"['iya', 'biar', 'kuat', 'menghadapi', 'kerasnya', 'ibukota', '!face_with_tears_of_joy!']"
3,@OposisiCerdas PARTAI SETAN IBUKOTA ISINYA SAMPAH 🤣🤪,partai setan ibukota isinya sampah 🤣🤪,"['partai', 'setan', 'ibukota', 'isinya', 'sampah', '!rolling_on_the_floor_laughing!!zany_face!']"
4,Iri ya pak Anis selalu jadi pembicara tingkat internasional dulu katanya kalau dia jadi presiden banjir ibu kota bisa di atasi pas jadi presiden pindah ibukota kok solusinya seperti itu,iri ya pak anis selalu jadi pembicara tingkat internasional dulu katanya kalau dia jadi presiden banjir ibu kota bisa di atasi pas jadi presiden pindah ibukota kok solusinya seperti itu,"['iri', 'ya', 'pak', 'anis', 'selalu', 'jadi', 'pembicara', 'tingkat', 'internasional', 'dulu', 'katanya', 'kalau', 'dia', 'jadi', 'presiden', 'banjir', 'ibu', 'kota', 'bisa', 'di', 'atasi', 'pas', 'jadi', 'presiden', 'pindah', 'ibukota', 'kok', 'solusinya', 'seperti', 'itu']"
5,"@kurawa 😄 perlakuan khusus utk DKI, daerah 'khusus' Ibukota..",😄 perlakuan khusus untuk dki daerah khusus ibukota,"['!grinning_face_with_smiling_eyes!', 'perlakuan', 'khusus', 'untuk', 'dki', 'daerah', 'khusus', 'ibukota']"
6,Hamparan padi tersusun berundak tertata rapi membentang menyapa matahari dan ibukota.,hamparan padi tersusun berundak tertata rapi membentang menyapa matahari dan ibukota,"['hamparan', 'padi', 'tersusun', 'berundak', 'tertata', 'rapi', 'membentang', 'menyapa', 'matahari', 'dan', 'ibukota']"
7,"PINDAH IBUKOTA ATAU PINDAH KE SURGA?

Oleh : Shireen Malika

  Semangat Dakwah Satukan Umat   .🏴🏳️🏴. #5DWBa https://t.co/pSkJSx57Gd",pindah ibukota atau pindah ke surga oleh shireen malika semangat dakwah satukan umat 🏴🏳️🏴,"['pindah', 'ibukota', 'atau', 'pindah', 'ke', 'surga', 'oleh', 'shireen', 'malika', 'semangat', 'dakwah', 'satukan', 'umat', '!black_flag!!white_flag!!black_flag!']"
8,@zarnaout45 Pemerintah Indonesia mulai dari IbuKota sampai Daerah semuanya dungu punya kekayaan Alam melimpah tdk bs dimanfaatkan.Malahan kekayaan Alam diberikan kepada Aseng yg mengelola.Bahkan byk aset Negara dijual ke Aseng.Rakyat harus buat gerakan Revolusi Turunkan Presiden Jokowi.,pemerintah indonesia mulai dari ibukota sampai daerah semuanya dungu punya kekayaan alam melimpah tidak bisa dimanfaatkanmalahan kekayaan alam diberikan kepada aseng yang mengelolabahkan banyak aset negara dijual ke asengrakyat harus buat gerakan revolusi turunkan presiden jokowi,"['pemerintah', 'indonesia', 'mulai', 'dari', 'ibukota', 'sampai', 'daerah', 'semuanya', 'dungu', 'punya', 'kekayaan', 'alam', 'melimpah', 'tidak', 'bisa', 'dimanfaatkanmalahan', 'kekayaan', 'alam', 'diberikan', 'kepada', 'aseng', 'yang', 'mengelolabahkan', 'banyak', 'aset', 'negara', 'dijual', 'ke', 'asengrakyat', 'harus', 'buat', 'gerakan', 'revolusi', 'turunkan', 'presiden', 'jokowi']"
9,"@Jusup_Rianto Ngritiknya di Singapura, negara kecil yg tak mungkin mindahin ibukota😃😃😃😂😂. Coba kalo berani  ngritiknya pas di Malaysia, yg sukses mindahin ibukota. Wan badut Bakal jadi tertawaan😃😃😃😃😂😂",rianto ngritiknya di singapura negara kecil yang tak mungkin mindahin ibukota😃😃😃😂😂 coba kalo berani ngritiknya pas di malaysia yang sukses mindahin ibukota wan badut bakal jadi tertawaan😃😃😃😃😂😂,"['rianto', 'ngritiknya', 'di', 'singapura', 'negara', 'kecil', 'yang', 'tak', 'mungkin', 'mindahin', 'ibukota!grinning_face_with_big_eyes!!grinning_face_with_big_eyes!!grinning_face_with_big_eyes!!face_with_tears_of_joy!!face_with_tears_of_joy!', 'coba', 'kalo', 'berani', 'ngritiknya', 'pas', 'di', 'malaysia', 'yang', 'sukses', 'mindahin', 'ibukota', 'wan', 'badut', 'bakal', 'jadi', 'tertawaan!grinning_face_with_big_eyes!!grinning_face_with_big_eyes!!grinning_face_with_big_eyes!!grinning_face_with_big_eyes!!face_with_tears_of_joy!!face_with_tears_of_joy!']"
