,tweet,text_clean,text_preprocessed,sentiment
0,"@aiistwts @worksfess mba kebalikannyaa aku, aku dr lahir tangerang,pernah kerja jakarta naik umum, ikut suami ke jatim, bahagia dunia akhirat,karena gak pernah kena macet laknat lg kayak di ibukota heheheheh",mba kebalikannyaa aku aku dr lahir tangerangpernah kerja jakarta naik umum ikut suami ke jatim bahagia dunia akhiratkarena gak pernah kena macet laknat lg kayak di ibukota heheheheh,"['mbak', 'kebalikannya', 'aku', 'aku', 'dari', 'lahir', 'tangerangpernah', 'kerja', 'jakarta', 'naik', 'umum', 'ikut', 'suami', 'ke', 'jatim', 'bahagia', 'dunia', 'akhiratkarena', 'enggak', 'pernah', 'kena', 'macet', 'laknat', 'lagi', 'kayak', 'di', 'ibukota', 'heheheheh']",Negative
1,@septinolan kucing ibukota kak,kucing ibukota kak,"['kucing', 'ibukota', 'kak']",Neutral
2,@parkaeriiii iya biar kuat menghadapi kerasnya ibukota 😂,iya biar kuat menghadapi kerasnya ibukota 😂,"['iya', 'biar', 'kuat', 'menghadapi', 'kerasnya', 'ibukota', ' facewithtearsofjoy ']",Neutral
3,@OposisiCerdas PARTAI SETAN IBUKOTA ISINYA SAMPAH 🤣🤪,partai setan ibukota isinya sampah 🤣🤪,"['partai', 'setan', 'ibukota', 'isinya', 'sampah', ' rollingonthefloorlaughing  zanyface ']",Negative
4,Iri ya pak Anis selalu jadi pembicara tingkat internasional dulu katanya kalau dia jadi presiden banjir ibu kota bisa di atasi pas jadi presiden pindah ibukota kok solusinya seperti itu,iri ya pak anis selalu jadi pembicara tingkat internasional dulu katanya kalau dia jadi presiden banjir ibu kota bisa di atasi pas jadi presiden pindah ibukota kok solusinya seperti itu,"['iri', 'ya', 'pak', 'anis', 'selalu', 'jadi', 'pembicara', 'tingkat', 'internasional', 'dulu', 'katanya', 'kalau', 'dia', 'jadi', 'presiden', 'banjir', 'ibu', 'kota', 'bisa', 'di', 'atasi', 'pas', 'jadi', 'presiden', 'pindah', 'ibukota', 'kok', 'solusinya', 'seperti', 'itu']",Negative
5,"@kurawa 😄 perlakuan khusus utk DKI, daerah 'khusus' Ibukota..",😄 perlakuan khusus utk dki daerah khusus ibukota,"[' grinningfacewithsmilingeyes ', 'perlakuan', 'khusus', 'untuk', 'dki', 'daerah', 'khusus', 'ibukota']",Neutral
6,Hamparan padi tersusun berundak tertata rapi membentang menyapa matahari dan ibukota.,hamparan padi tersusun berundak tertata rapi membentang menyapa matahari dan ibukota,"['hamparan', 'padi', 'tersusun', 'berundak', 'tertata', 'rapi', 'membentang', 'menyapa', 'matahari', 'dan', 'ibukota']",Positive
7,"PINDAH IBUKOTA ATAU PINDAH KE SURGA?

Oleh : Shireen Malika

  Semangat Dakwah Satukan Umat   .🏴🏳️🏴. #5DWBa https://t.co/pSkJSx57Gd",pindah ibukota atau pindah ke surga  oleh  shireen malika    semangat dakwah satukan umat   🏴🏳️🏴,"['pindah', 'ibukota', 'atau', 'pindah', 'ke', 'surga', 'oleh', 'shireen', 'malika', 'semangat', 'dakwah', 'satukan', 'umat', ' blackflag  whiteflag  blackflag ']",Negative
8,@zarnaout45 Pemerintah Indonesia mulai dari IbuKota sampai Daerah semuanya dungu punya kekayaan Alam melimpah tdk bs dimanfaatkan.Malahan kekayaan Alam diberikan kepada Aseng yg mengelola.Bahkan byk aset Negara dijual ke Aseng.Rakyat harus buat gerakan Revolusi Turunkan Presiden Jokowi.,pemerintah indonesia mulai dari ibukota sampai daerah semuanya dungu punya kekayaan alam melimpah tdk bs dimanfaatkanmalahan kekayaan alam diberikan kepada aseng yg mengelolabahkan byk aset negara dijual ke asengrakyat harus buat gerakan revolusi turunkan presiden jokowi,"['pemerintah', 'indonesia', 'mulai', 'dari', 'ibukota', 'sampai', 'daerah', 'semuanya', 'dungu', 'punya', 'kekayaan', 'alam', 'melimpah', 'tidak', 'bisa', 'dimanfaatkanmalahan', 'kekayaan', 'alam', 'diberikan', 'kepada', 'aseng', 'yang', 'mengelolabahkan', 'banyak', 'aset', 'negara', 'dijual', 'ke', 'asengrakyat', 'harus', 'buat', 'gerakan', 'revolusi', 'turunkan', 'presiden', 'jokowi']",Negative
9,"@Jusup_Rianto Ngritiknya di Singapura, negara kecil yg tak mungkin mindahin ibukota😃😃😃😂😂. Coba kalo berani  ngritiknya pas di Malaysia, yg sukses mindahin ibukota. Wan badut Bakal jadi tertawaan😃😃😃😃😂😂",rianto ngritiknya di singapura negara kecil yg tak mungkin mindahin ibukota😃😃😃😂😂 coba kalo berani  ngritiknya pas di malaysia yg sukses mindahin ibukota wan badut bakal jadi tertawaan😃😃😃😃😂😂,"['rianto', 'ngritiknya', 'di', 'singapura', 'negara', 'kecil', 'yang', 'tak', 'mungkin', 'mindahin', 'ibukota grinningfacewithbigeyes  grinningfacewithbigeyes  grinningfacewithbigeyes  facewithtearsofjoy  facewithtearsofjoy ', 'coba', 'kalo', 'berani', 'ngritiknya', 'pas', 'di', 'malaysia', 'yang', 'sukses', 'mindahin', 'ibukota', 'wan', 'badut', 'bakal', 'jadi', 'tertawaan grinningfacewithbigeyes  grinningfacewithbigeyes  grinningfacewithbigeyes  grinningfacewithbigeyes  facewithtearsofjoy  facewithtearsofjoy ']",Positive
