,tweet,text_clean,clean2,text_preprocessed,sentiment,alt
0,@zoelfick @yusuf_dumdum Ganjar dong Pak..Anies suka Lebay..Prabowo...sekarang jadi Lembut Sangat, dumdum ganjar dong pak . . anies suka lebay . . prabowo . . . sekarang jadi lembut sangat,_ dumdum ganjar dong pak .  . anies suka lebay .  . prabowo .  .  . sekarang jadi lembut sangat,"['dumdum', 'ganjar', 'dong', 'pak', '.', '.', 'anies', 'suka', 'lebay', '.', '.', 'prabowo', '.', '.', '.', 'sekarang', 'jadi', 'lembut', 'sangat']",Negative,Neutral
1,Prabowo Mania 08 Sebut Prabowo-Ganjar Cocok Jadi Pesaing Anies pada Pilpres 2024 - https://t.co/5LpIx3OvE1 - Nasional https://t.co/5LpIx3OvE1 #Prabowo #PrabowoUnggul https://t.co/67SoQp6CI0,prabowo mania sebut prabowo - ganjar cocok jadi pesaing anies pada pilpres - - nasional,prabowo mania  sebut prabowo - ganjar cocok jadi pesaing anies pada pilpres   -    -  nasional,"['prabowo', 'mania', 'sebut', 'prabowo', '-', 'ganjar', 'cocok', 'jadi', 'pesaing', 'anies', 'pada', 'pilpres', '-', '-', 'nasional']",Neutral,Neutral
2,"Wow.. semangat sekali pak.. 👍👍

Prabowo Anggap Anies dan Ganjar Bukan Lawan jika Bertarung di Pilpres 2024
https://t.co/2x7SpgThyd",wow . . semangat sekali pak . . thumbsup thumbsup prabowo anggap anies dan ganjar bukan lawan jika bertarung di pilpres,wow .  .  semangat sekali pak .  .    prabowo anggap anies dan ganjar bukan lawan jika bertarung di pilpres,"['wow', '.', '.', 'semangat', 'sekali', 'pak', '.', '.', 'thumbsup', 'thumbsup', 'prabowo', 'anggap', 'anies', 'dan', 'ganjar', 'bukan', 'lawan', 'jika', 'bertarung', 'di', 'pilpres']",Positive,Neutral
3,"@Heraloebss Ridwan Kamilnya mana?

Jokowi belum memutuskan capres jagoannya.  Kenapa belum memutuskan? Karena yang dijagokan oleh Jokowi belum dibacapreskan.

Berarti bukan GAP. GAP = Ganjar Anies Prabowo.",ridwan kamilnya mana ? jokowi belum memutuskan capres jagoannya . kenapa belum memutuskan ? karena yang dijagokan oleh jokowi belum dibacapreskan . berarti bukan gap . gap = ganjar anies prabowo .,ridwan kamilnya mana ?   jokowi belum memutuskan capres jagoannya .   kenapa belum memutuskan ?  karena yang dijagokan oleh jokowi belum dibacapreskan .   berarti bukan gap .  gap  =  ganjar anies prabowo .,"['ridwan', 'kamilnya', 'mana', '?', 'jokowi', 'belum', 'memutuskan', 'capres', 'jagoannya', '.', 'kenapa', 'belum', 'memutuskan', '?', 'karena', 'yang', 'dijagokan', 'oleh', 'jokowi', 'belum', 'dibacapreskan', '.', 'berarti', 'bukan', 'gap', '.', 'gap', '=', 'ganjar', 'anies', 'prabowo', '.']",Negative,Neutral
4,"@zipper_clutch @romeogadungan + bukan dari militer (seperti bapak sby dan bapak prabowo, dan LBP), bukan dari ""keturunan"" (seperti ibu mega), bukan juga mahasiswa yg aktif pada masanya (seperti bapak anies dan bapak ganjar)."," clutch + bukan dari militer ( seperti bapak surabaya dan bapak prabowo , dan lbp ) , bukan dari "" keturunan "" ( seperti ibu mega ) , bukan juga mahasiswa yang aktif pada masanya ( seperti bapak anies dan bapak ganjar ) .","_ clutch   +  bukan dari militer  ( seperti bapak sby dan bapak prabowo ,  dan lbp )  ,  bukan dari  "" keturunan ""   ( seperti ibu mega )  ,  bukan juga mahasiswa yg aktif pada masanya  ( seperti bapak anies dan bapak ganjar )  .","['clutch', '+', 'bukan', 'dari', 'militer', '(', 'seperti', 'bapak', 'surabaya', 'dan', 'bapak', 'prabowo', ',', 'dan', 'lbp', ')', ',', 'bukan', 'dari', '``', 'keturunan', '``', '(', 'seperti', 'ibu', 'mega', ')', ',', 'bukan', 'juga', 'mahasiswa', 'yang', 'aktif', 'pada', 'masanya', '(', 'seperti', 'bapak', 'anies', 'dan', 'bapak', 'ganjar', ')', '.']",Negative,Neutral
5,"Prabowo Masa Lalu, Anies Masa Depan, Ganjar Masa Iya? - Eramuslim #Prabowo #BangkitBersama https://t.co/7eKm7Tfx7I","prabowo masa lalu , anies masa depan , ganjar masa iya ? - eramuslim","prabowo masa lalu ,  anies masa depan ,  ganjar masa iya ?   -  eramuslim","['prabowo', 'masa', 'lalu', ',', 'anies', 'masa', 'depan', ',', 'ganjar', 'masa', 'iya', '?', '-', 'eramuslim']",Neutral,Neutral
6,"Capres Prabowo, Ganjar dan Anies, Siapa Paling Kaya? - CNBC Indonesia #Prabowo #BangkitBersama https://t.co/fxHL2gX2F1","capres prabowo , ganjar dan anies , siapa paling kayak ? - cnbc indonesia","capres prabowo ,  ganjar dan anies ,  siapa paling kaya ?   -  cnbc indonesia","['capres', 'prabowo', ',', 'ganjar', 'dan', 'anies', ',', 'siapa', 'paling', 'kayak', '?', '-', 'cnbc', 'indonesia']",Neutral,Neutral
7,"Siapa Calon Presiden 2024 Pilihan Anda
- 1. PRABOWO SUBIANTO - 7.8%
- 3. ANIES BASWEDAN - 45.5%
- 2. GANJAR PRANOWO - 47%

Total Votes : 105639 

 Berikan vote anda, klik link 
 https://t.co/8sq2e0hMCA 

Tolong retweet dan mention teman-temanmu ya. Terima kasih","siapa calon presiden pilihan anda - . prabowo subianto - . % - . anies baswedan - . % - . ganjar pranowo - % total votes : berikan vote anda , klik link tolong retweet dan mention teman - temanmu ya . terima kasih","siapa calon presiden  pilihan anda  -   .  prabowo subianto  -   .  %   -   .  anies baswedan  -   .  %   -   .  ganjar pranowo  -   %   total votes  :      berikan vote anda ,  klik link      tolong retweet dan mention teman - temanmu ya .  terima kasih","['siapa', 'calon', 'presiden', 'pilihan', 'anda', '-', '.', 'prabowo', 'subianto', '-', '.', '%', '-', '.', 'anies', 'baswedan', '-', '.', '%', '-', '.', 'ganjar', 'pranowo', '-', '%', 'total', 'votes', ':', 'berikan', 'vote', 'anda', ',', 'klik', 'link', 'tolong', 'retweet', 'dan', 'mention', 'teman', '-', 'temanmu', 'ya', '.', 'terima', 'kasih']",Neutral,Neutral
8,"Siapa Calon Presiden 2024 Pilihan Anda
- 1. PRABOWO SUBIANTO - 7.8%
- 3. ANIES BASWEDAN - 45.4%
- 2. GANJAR PRANOWO - 47.1%

Total Votes : 105375 

 Berikan vote anda, klik link 
 https://t.co/HHOsPthHmO 

Tolong retweet dan mention teman-temanmu ya. Terima kasih","siapa calon presiden pilihan anda - . prabowo subianto - . % - . anies baswedan - . % - . ganjar pranowo - . % total votes : berikan vote anda , klik link tolong retweet dan mention teman - temanmu ya . terima kasih","siapa calon presiden  pilihan anda  -   .  prabowo subianto  -   .  %   -   .  anies baswedan  -   .  %   -   .  ganjar pranowo  -   .  %   total votes  :      berikan vote anda ,  klik link      tolong retweet dan mention teman - temanmu ya .  terima kasih","['siapa', 'calon', 'presiden', 'pilihan', 'anda', '-', '.', 'prabowo', 'subianto', '-', '.', '%', '-', '.', 'anies', 'baswedan', '-', '.', '%', '-', '.', 'ganjar', 'pranowo', '-', '.', '%', 'total', 'votes', ':', 'berikan', 'vote', 'anda', ',', 'klik', 'link', 'tolong', 'retweet', 'dan', 'mention', 'teman', '-', 'temanmu', 'ya', '.', 'terima', 'kasih']",Neutral,Neutral
9,"@kompascom Anies paling cerdas dan santun
Dan dia nampak paling agamis jika dibandingkan Prabowo yang tidak lancar baca Quran apalagi dibandingkan dengan Ganjar yang penggemar bokep.",anies paling cerdas dan santun dan dia menampak paling agamis jika dibandingkan prabowo yang tidak lancar baca quran apalagi dibandingkan dengan ganjar yang penggemar bokep .,anies paling cerdas dan santun dan dia nampak paling agamis jika dibandingkan prabowo yang tidak lancar baca quran apalagi dibandingkan dengan ganjar yang penggemar bokep .,"['anies', 'paling', 'cerdas', 'dan', 'santun', 'dan', 'dia', 'menampak', 'paling', 'agamis', 'jika', 'dibandingkan', 'prabowo', 'yang', 'tidak', 'lancar', 'baca', 'quran', 'apalagi', 'dibandingkan', 'dengan', 'ganjar', 'yang', 'penggemar', 'bokep', '.']",Positive,Neutral
