,content,text_clean,casefolding,emojis,alay,tokenizing,elongation,sentiment,alt
0,😅,😅,😅, grinningfacewithsweat , grinningfacewithsweat ,['grinningfacewithsweat'],['grinningfacewithsweat'],Neutral,Neutral
1,Kok gak boleh komentar.. Kan sebelumnya di suruh like share dan komen compas,Kok gak boleh komentar   Kan sebelumnya di suruh like share dan komen compas,kok gak boleh komentar   kan sebelumnya di suruh like share dan komen compas,kok gak boleh komentar kan sebelumnya di suruh like share dan komen compas,kok enggak boleh komentar kan sebelumnya di suruh like share dan komen compas,"['kok', 'enggak', 'boleh', 'komentar', 'kan', 'sebelumnya', 'di', 'suruh', 'like', 'share', 'dan', 'komen', 'compas']","['kok', 'enggak', 'boleh', 'komentar', 'kan', 'sebelumnya', 'di', 'suruh', 'like', 'share', 'dan', 'komen', 'compas']",Negative,Neutral
2,Pa Mahfud MD the best RI,Pa Mahfud MD the best RI,pa mahfud md the best ri,pa mahfud md the best ri,apa mahfud md the best ri,"['apa', 'mahfud', 'md', 'the', 'best', 'ri']","['apa', 'mahfud', 'md', 'the', 'best', 'ri']",Neutral,Neutral
3,Selamat kepada Pak Ganjar Pranowo atas deklarasi capres RI 2024 - 2029 yang di usung oleh Bu Megawati di Batu tulis Bogor tanggal 21 April 2023.,Selamat kepada Pak Ganjar Pranowo atas deklarasi capres RI     yang di usung oleh Bu Megawati di Batu tulis Bogor tanggal  April,selamat kepada pak ganjar pranowo atas deklarasi capres ri     yang di usung oleh bu megawati di batu tulis bogor tanggal  april,selamat kepada pak ganjar pranowo atas deklarasi capres ri yang di usung oleh bu megawati di batu tulis bogor tanggal april,selamat kepada pak ganjar pranowo atas deklarasi capres ri yang di usung oleh bu megawati di batu tulis bogor tanggal april,"['selamat', 'kepada', 'pak', 'ganjar', 'pranowo', 'atas', 'deklarasi', 'capres', 'ri', 'yang', 'di', 'usung', 'oleh', 'bu', 'megawati', 'di', 'batu', 'tulis', 'bogor', 'tanggal', 'april']","['selamat', 'kepada', 'pak', 'ganjar', 'pranowo', 'atas', 'deklarasi', 'capres', 'ri', 'yang', 'di', 'usung', 'oleh', 'bu', 'megawati', 'di', 'batu', 'tulis', 'bogor', 'tanggal', 'april']",Neutral,Neutral
4,ganjar presiden prabowo wapres menang satu putaran insyaallah,ganjar presiden prabowo wapres menang satu putaran insyaallah,ganjar presiden prabowo wapres menang satu putaran insyaallah,ganjar presiden prabowo wapres menang satu putaran insyaallah,ganjar presiden prabowo wapres menang satu putaran insyaallah,"['ganjar', 'presiden', 'prabowo', 'wapres', 'menang', 'satu', 'putaran', 'insyaallah']","['ganjar', 'presiden', 'prabowo', 'wapres', 'menang', 'satu', 'putaran', 'insyaallah']",Neutral,Neutral
5,Saya Dari Kalimantan Timur Samarinda.<br>Sangat mendukung bahwa bpk Ganjar Pranowo calon presiden Republik Indonesia tahun 2024.<br>Dan wakilnya bapak Mahfudz MD Atau BPK Prabowo Subianto.,Saya Dari Kalimantan Timur Samarinda  br Sangat mendukung bahwa bpk Ganjar Pranowo calon presiden Republik Indonesia tahun   br Dan wakilnya bapak Mahfudz MD Atau BPK Prabowo Subianto,saya dari kalimantan timur samarinda  br sangat mendukung bahwa bpk ganjar pranowo calon presiden republik indonesia tahun   br dan wakilnya bapak mahfudz md atau bpk prabowo subianto,saya dari kalimantan timur samarinda br sangat mendukung bahwa bpk ganjar pranowo calon presiden republik indonesia tahun br dan wakilnya bapak mahfudz md atau bpk prabowo subianto,saya dari kalimantan timur samarinda baru sangat mendukung bahwa bpk ganjar pranowo calon presiden republik indonesia tahun baru dan wakilnya bapak mahfudz md atau bpk prabowo subianto,"['saya', 'dari', 'kalimantan', 'timur', 'samarinda', 'baru', 'sangat', 'mendukung', 'bahwa', 'bpk', 'ganjar', 'pranowo', 'calon', 'presiden', 'republik', 'indonesia', 'tahun', 'baru', 'dan', 'wakilnya', 'bapak', 'mahfudz', 'md', 'atau', 'bpk', 'prabowo', 'subianto']","['saya', 'dari', 'kalimantan', 'timur', 'samarinda', 'baru', 'sangat', 'mendukung', 'bahwa', 'bpk', 'ganjar', 'pranowo', 'calon', 'presiden', 'republik', 'indonesia', 'tahun', 'baru', 'dan', 'wakilnya', 'bapak', 'mahfudz', 'md', 'atau', 'bpk', 'prabowo', 'subianto']",Neutral,Neutral
6,ogah lagi deh sama keboo<br>kapokkk!!!,ogah lagi deh sama keboo br kapokkk,ogah lagi deh sama keboo br kapokkk,ogah lagi deh sama keboo br kapokkk,ogah lagi deh sama keboo baru kapokkk,"['ogah', 'lagi', 'deh', 'sama', 'keboo', 'baru', 'kapokkk']","['ogah', 'lagi', 'deh', 'sama', 'kebo', 'baru', 'kapok']",Negative,Neutral
7,Jlas MK.lampir bukan org muslim bismillah ae ora teteh,Jlas MK lampir bukan org muslim bismillah ae ora teteh,jlas mk lampir bukan org muslim bismillah ae ora teteh,jlas mk lampir bukan org muslim bismillah ae ora teteh,jlas maka lampir bukan orang muslim bismillah saja ora teteh,"['jlas', 'maka', 'lampir', 'bukan', 'orang', 'muslim', 'bismillah', 'saja', 'ora', 'teteh']","['jlas', 'maka', 'lampir', 'bukan', 'orang', 'muslim', 'bismillah', 'saja', 'ora', 'teteh']",Negative,Negative
8,Ganjar petugas partai prabowo timbul rakyat tengelam anis mau perubahan serahkan semua pada rakyat  rakyat yg akan menentukan bukan ketuapartai,Ganjar petugas partai prabowo timbul rakyat tengelam anis mau perubahan serahkan semua pada rakyat  rakyat yg akan menentukan bukan ketuapartai,ganjar petugas partai prabowo timbul rakyat tengelam anis mau perubahan serahkan semua pada rakyat  rakyat yg akan menentukan bukan ketuapartai,ganjar petugas partai prabowo timbul rakyat tengelam anis mau perubahan serahkan semua pada rakyat rakyat yg akan menentukan bukan ketuapartai,ganjar petugas partai prabowo timbul rakyat tengelam anis mau perubahan serahkan semua pada rakyat rakyat yang akan menentukan bukan ketuapartai,"['ganjar', 'petugas', 'partai', 'prabowo', 'timbul', 'rakyat', 'tengelam', 'anis', 'mau', 'perubahan', 'serahkan', 'semua', 'pada', 'rakyat', 'rakyat', 'yang', 'akan', 'menentukan', 'bukan', 'ketuapartai']","['ganjar', 'petugas', 'partai', 'prabowo', 'timbul', 'rakyat', 'tengelam', 'anis', 'mau', 'perubahan', 'serahkan', 'semua', 'pada', 'rakyat', 'rakyat', 'yang', 'akan', 'menentukan', 'bukan', 'ketuapartai']",Negative,Neutral
9,Ketua umum partai PDI perjuangan ibu Megawati Soekarnoputri resmi sah mengusung pa Ganjar Pranowo untuk menjadi calon presiden Indonesia 2024 pada Jumat siang tadi,Ketua umum partai PDI perjuangan ibu Megawati Soekarnoputri resmi sah mengusung pa Ganjar Pranowo untuk menjadi calon presiden Indonesia  pada Jumat siang tadi,ketua umum partai pdi perjuangan ibu megawati soekarnoputri resmi sah mengusung pa ganjar pranowo untuk menjadi calon presiden indonesia  pada jumat siang tadi,ketua umum partai pdi perjuangan ibu megawati soekarnoputri resmi sah mengusung pa ganjar pranowo untuk menjadi calon presiden indonesia pada jumat siang tadi,ketua umum partai pdi perjuangan ibu megawati soekarnoputri resmi sah mengusung apa ganjar pranowo untuk menjadi calon presiden indonesia pada jumat siang tadi,"['ketua', 'umum', 'partai', 'pdi', 'perjuangan', 'ibu', 'megawati', 'soekarnoputri', 'resmi', 'sah', 'mengusung', 'apa', 'ganjar', 'pranowo', 'untuk', 'menjadi', 'calon', 'presiden', 'indonesia', 'pada', 'jumat', 'siang', 'tadi']","['ketua', 'umum', 'partai', 'pdi', 'perjuangan', 'ibu', 'megawati', 'soekarnoputri', 'resmi', 'sah', 'mengusung', 'apa', 'ganjar', 'pranowo', 'untuk', 'menjadi', 'calon', 'presiden', 'indonesia', 'pada', 'jumat', 'siang', 'tadi']",Neutral,Neutral
10,Fx rudi nyungsep,Fx rudi nyungsep,fx rudi nyungsep,fx rudi nyungsep,fx rudi nyungsep,"['fx', 'rudi', 'nyungsep']","['fx', 'rudi', 'nyungsep']",Neutral,Neutral
11,Filing dan komitmen serta rekor dr FX Rudy patut di beri apresiasi top pak Rudy bapak sangat berprinsip dalam menentukan pilihan bapak memilih diam krn usaha bapak sdh tercapai tinggal tugas berikut nya bapak memenangkan pak Ganjar,Filing dan komitmen serta rekor dr FX Rudy patut di beri apresiasi top pak Rudy bapak sangat berprinsip dalam menentukan pilihan bapak memilih diam krn usaha bapak sdh tercapai tinggal tugas berikut nya bapak memenangkan pak Ganjar,filing dan komitmen serta rekor dr fx rudy patut di beri apresiasi top pak rudy bapak sangat berprinsip dalam menentukan pilihan bapak memilih diam krn usaha bapak sdh tercapai tinggal tugas berikut nya bapak memenangkan pak ganjar,filing dan komitmen serta rekor dr fx rudy patut di beri apresiasi top pak rudy bapak sangat berprinsip dalam menentukan pilihan bapak memilih diam krn usaha bapak sdh tercapai tinggal tugas berikut nya bapak memenangkan pak ganjar,filing dan komitmen serta rekor dari fx rudy patut di beri apresiasi top pak rudy bapak sangat berprinsip dalam menentukan pilihan bapak memilih diam karena usaha bapak sudah tercapai tinggal tugas berikut nya bapak memenangkan pak ganjar,"['filing', 'dan', 'komitmen', 'serta', 'rekor', 'dari', 'fx', 'rudy', 'patut', 'di', 'beri', 'apresiasi', 'top', 'pak', 'rudy', 'bapak', 'sangat', 'berprinsip', 'dalam', 'menentukan', 'pilihan', 'bapak', 'memilih', 'diam', 'karena', 'usaha', 'bapak', 'sudah', 'tercapai', 'tinggal', 'tugas', 'berikut', 'nya', 'bapak', 'memenangkan', 'pak', 'ganjar']","['filing', 'dan', 'komitmen', 'serta', 'rekor', 'dari', 'fx', 'rudy', 'patut', 'di', 'beri', 'apresiasi', 'top', 'pak', 'rudy', 'bapak', 'sangat', 'berprinsip', 'dalam', 'menentukan', 'pilihan', 'bapak', 'memilih', 'diam', 'karena', 'usaha', 'bapak', 'sudah', 'tercapai', 'tinggal', 'tugas', 'berikut', 'nya', 'bapak', 'memenangkan', 'pak', 'ganjar']",Positive,Positive
12,Petugas partai nya di tingkat kan lg,Petugas partai nya di tingkat kan lg,petugas partai nya di tingkat kan lg,petugas partai nya di tingkat kan lg,petugas partai nya di tingkat kan lagi,"['petugas', 'partai', 'nya', 'di', 'tingkat', 'kan', 'lagi']","['petugas', 'partai', 'nya', 'di', 'tingkat', 'kan', 'lagi']",Negative,Neutral
13,Alhamdulillah akhirnya pak Ganjar dipilih oleh PDIP utk menjadi calon presiden Indonesia yg akan melanjutkan program kerja pak Jokowi dlm membangun Indonesia<br>Makasih ibu Mega sukarnoputri,Alhamdulillah akhirnya pak Ganjar dipilih oleh PDIP utk menjadi calon presiden Indonesia yg akan melanjutkan program kerja pak Jokowi dlm membangun Indonesia br Makasih ibu Mega sukarnoputri,alhamdulillah akhirnya pak ganjar dipilih oleh pdip utk menjadi calon presiden indonesia yg akan melanjutkan program kerja pak jokowi dlm membangun indonesia br makasih ibu mega sukarnoputri,alhamdulillah akhirnya pak ganjar dipilih oleh pdip utk menjadi calon presiden indonesia yg akan melanjutkan program kerja pak jokowi dlm membangun indonesia br makasih ibu mega sukarnoputri,alhamdulillah akhirnya pak ganjar dipilih oleh pdip untuk menjadi calon presiden indonesia yang akan melanjutkan program kerja pak jokowi dalam membangun indonesia baru terima kasih ibu mega sukarnoputri,"['alhamdulillah', 'akhirnya', 'pak', 'ganjar', 'dipilih', 'oleh', 'pdip', 'untuk', 'menjadi', 'calon', 'presiden', 'indonesia', 'yang', 'akan', 'melanjutkan', 'program', 'kerja', 'pak', 'jokowi', 'dalam', 'membangun', 'indonesia', 'baru', 'terima', 'kasih', 'ibu', 'mega', 'sukarnoputri']","['alhamdulillah', 'akhirnya', 'pak', 'ganjar', 'dipilih', 'oleh', 'pdip', 'untuk', 'menjadi', 'calon', 'presiden', 'indonesia', 'yang', 'akan', 'melanjutkan', 'program', 'kerja', 'pak', 'jokowi', 'dalam', 'membangun', 'indonesia', 'baru', 'terima', 'kasih', 'ibu', 'mega', 'sukarnoputri']",Positive,Neutral
14,"Ente komen apa juga gak ngaruh Pak, hanya lokalan solo saja, gak seujung kukunya Indonesia, kecuali yg komen Pak Jokowi.",Ente komen apa juga gak ngaruh Pak  hanya lokalan solo saja  gak seujung kukunya Indonesia  kecuali yg komen Pak Jokowi,ente komen apa juga gak ngaruh pak  hanya lokalan solo saja  gak seujung kukunya indonesia  kecuali yg komen pak jokowi,ente komen apa juga gak ngaruh pak hanya lokalan solo saja gak seujung kukunya indonesia kecuali yg komen pak jokowi,ente komen apa juga enggak ngaruh pak hanya lokalan solo saja enggak seujung kukunya indonesia kecuali yang komen pak jokowi,"['ente', 'komen', 'apa', 'juga', 'enggak', 'ngaruh', 'pak', 'hanya', 'lokalan', 'solo', 'saja', 'enggak', 'seujung', 'kukunya', 'indonesia', 'kecuali', 'yang', 'komen', 'pak', 'jokowi']","['ente', 'komen', 'apa', 'juga', 'enggak', 'ngaruh', 'pak', 'hanya', 'lokalan', 'solo', 'saja', 'enggak', 'seujung', 'kukunya', 'indonesia', 'kecuali', 'yang', 'komen', 'pak', 'jokowi']",Negative,Neutral
15,"Insya Allah , saya akan pilih pak Ganjar Pranowo di pilpres 2024 , batal saya coblos logo KPU karena pak Ganjar Pranowo maju dipilpres 2024",Insya Allah   saya akan pilih pak Ganjar Pranowo di pilpres    batal saya coblos logo KPU karena pak Ganjar Pranowo maju dipilpres,insya allah   saya akan pilih pak ganjar pranowo di pilpres    batal saya coblos logo kpu karena pak ganjar pranowo maju dipilpres,insya allah saya akan pilih pak ganjar pranowo di pilpres batal saya coblos logo kpu karena pak ganjar pranowo maju dipilpres,insya allah saya akan pilih pak ganjar pranowo di pilpres batal saya coblos logo kpu karena pak ganjar pranowo maju dipilpres,"['insya', 'allah', 'saya', 'akan', 'pilih', 'pak', 'ganjar', 'pranowo', 'di', 'pilpres', 'batal', 'saya', 'coblos', 'logo', 'kpu', 'karena', 'pak', 'ganjar', 'pranowo', 'maju', 'dipilpres']","['insya', 'allah', 'saya', 'akan', 'pilih', 'pak', 'ganjar', 'pranowo', 'di', 'pilpres', 'batal', 'saya', 'coblos', 'logo', 'kpu', 'karena', 'pak', 'ganjar', 'pranowo', 'maju', 'dipilpres']",Neutral,Neutral
16,Petugas partai tetep petugas partai. Boneka tetap boneka. Yg berkuasa ya Mak banteng.  Pildun gagal ya Ganjar. Ganjar no,Petugas partai tetep petugas partai  Boneka tetap boneka  Yg berkuasa ya Mak banteng   Pildun gagal ya Ganjar  Ganjar no,petugas partai tetep petugas partai  boneka tetap boneka  yg berkuasa ya mak banteng   pildun gagal ya ganjar  ganjar no,petugas partai tetep petugas partai boneka tetap boneka yg berkuasa ya mak banteng pildun gagal ya ganjar ganjar no,petugas partai tetap petugas partai boneka tetap boneka yang berkuasa ya mak banteng pildun gagal ya ganjar ganjar no,"['petugas', 'partai', 'tetap', 'petugas', 'partai', 'boneka', 'tetap', 'boneka', 'yang', 'berkuasa', 'ya', 'mak', 'banteng', 'pildun', 'gagal', 'ya', 'ganjar', 'ganjar', 'no']","['petugas', 'partai', 'tetap', 'petugas', 'partai', 'boneka', 'tetap', 'boneka', 'yang', 'berkuasa', 'ya', 'mak', 'banteng', 'pildun', 'gagal', 'ya', 'ganjar', 'ganjar', 'no']",Negative,Neutral
17,Capres si cungkring rambut putih dr gua halu..,Capres si cungkring rambut putih dr gua halu,capres si cungkring rambut putih dr gua halu,capres si cungkring rambut putih dr gua halu,capres sih cungkring rambut putih dari gua halu,"['capres', 'sih', 'cungkring', 'rambut', 'putih', 'dari', 'gua', 'halu']","['capres', 'sih', 'cungkring', 'rambut', 'putih', 'dari', 'gua', 'halu']",Negative,Neutral
18,Alhamdulillah.,Alhamdulillah,alhamdulillah,alhamdulillah,alhamdulillah,['alhamdulillah'],['alhamdulillah'],Positive,Positive
19,2024 Prabowo Presiden 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,Prabowo Presiden 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,prabowo presiden 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,prabowo presiden thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup ,prabowo presiden thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup ,"['prabowo', 'presiden', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup']","['prabowo', 'presiden', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup', 'thumbsup']",Positive,Positive
20,Amiiiin akhirnya kepilih juga  jadi capres,Amiiiin akhirnya kepilih juga  jadi capres,amiiiin akhirnya kepilih juga  jadi capres,amiiiin akhirnya kepilih juga jadi capres,amin akhirnya kepilih juga jadi capres,"['amin', 'akhirnya', 'kepilih', 'juga', 'jadi', 'capres']","['amin', 'akhirnya', 'kepilih', 'juga', 'jadi', 'capres']",Positive,Neutral
