,Tweet,Result Prediction,text_preprocessed
0,Lol syarat pertama udah gagal,Neutral,"['lol', 'syarat', 'gagal']"
1,@PT_Transjakarta tolong itu aplikasinya di hapus aja... gk berguna.. bikin sy gagal kerja jadinya sy ribut sama istri.. aplikasi di buat tapi eror..,Negative,"['transjakarta', 'tolong', 'aplikasinya', 'hapu', 'berguna', 'bikin', 'gagal', 'kerja', 'ribut', 'istri', 'aplikasi', 'eror']"
2,"🔵 Penyokong Chelsea mungkin tak akan sambut New Year lagi selepas ini.

Buat tahun keenam berturut-turut, Chelsea gagal mencatatkan sebarang kemenangan dalam perlawanan liga pertama mereka pada tahun kalendar yang baharu.

#NFOCHE https://t.co/qFh0XB0XuH",Neutral,"['penyokong', 'chelsea', 'sambut', 'new', 'year', 'selepa', 'keenam', 'berturutturut', 'chelsea', 'gagal', 'mencatatkan', 'sebarang', 'kemenangan', 'perlawanan', 'liga', 'kalendar', 'baharu']"
3,@DMarginale @Relawananies Gubernur cuma satu periode adalah gagal,Neutral,"['gubernur', 'period', 'gagal']"
4,Partai Koruptor!! AHY gagal Politik!! #AHYpolitikusGagal #AHYAsalBicara #SBYMangkrakAHYAsbun https://t.co/KdM0xceZyf,Neutral,"['partai', 'koruptor', 'ahi', 'gagal', 'politik']"
5,Hasil Liga Inggris: Chelsea Gagal Raih Poin Penuh Saat Jamu Nottingham Forest https://t.co/Laa2pKPMoe #ligainggris #Chelsea #NottinghamForest #nottinghamchelsea #Nottingham,Neutral,"['hasil', 'liga', 'inggri', 'chelsea', 'gagal', 'raih', 'poin', 'penuh', 'jamu', 'nottingham', 'forest']"
6,"Orang Sukses selalu kelebihan cara , namun orang Gagal selalu kelebihan Alasan",Neutral,"['orang', 'suks', 'kelebihan', 'orang', 'gagal', 'kelebihan', 'alasan']"
7,"semangat lu pada yg hari ini masuk, gua gagal turu seharian malah di suruh kumpul 😔",Neutral,"['semangat', 'lu', 'masuk', 'gua', 'gagal', 'turu', 'seharian', 'suruh', 'kumpul']"
8,"@sbtcon foto outlet kamu outlet offline kah? kemarin aku cuma masukin ss profile olshop twitterku langsung bisa, kalo ss profile olshop twitter harus ada “edit profile” di ssnya biar ga gagal.",Neutral,"['foto', 'outlet', 'outlet', 'offlin', 'kah', 'kemarin', 'memasuki', 'ss', 'profil', 'olshop', 'twitterku', 'langsung', 'kalo', 'ss', 'profil', 'olshop', 'twitter', 'edit', 'profil', 'ssnya', 'biar', 'gagal']"
9,"@SaidAgils @chastita_s @AREAJULID banyak yang gagal kak, hehehe",Neutral,"['si', 'gagal', 'kak', 'heheh']"
10,@idextratime Dah ajg musim ini dah gk ketolong ni club..,Neutral,"['deh', 'ajg', 'musim', 'deh', 'ketolong', 'nih', 'club']"
11,"@convomf Tapi sebelum gw nikah gw mau bahagiain mak gw dulu seenggaknya sederhana, supaya nanti mak gw gapernah rasain kalau dia gagal jadi ibu dan tetep surga ada di telapak kakinya. I'll do it as it well.",Neutral,"['gue', 'nikah', 'gue', 'bahagiain', 'mak', 'gue', 'seenggaknya', 'sederhana', 'mak', 'gue', 'merasai', 'gagal', 'surga', 'telapak', 'kakinya', 'ill', 'as', 'well']"
12,"@daengrev ambil je mana² ikut kemampuan.

asalkan tidak berbelanja bt kereta cc 1.3 mengalahkan orang pakai kereta cc 3.5.

ramai orang kita gagal ansuran kereta sbb tidak sedar diri bila make up kereta melebihi belanja poket.

sedar diri, sedar ruang.
seadanya dan semampunya shj.",Neutral,"['ambil', 'je', 'kemampuan', 'berbelanja', 'kereta', 'cc', 'mengalahkan', 'orang', 'pakai', 'kereta', 'cc', 'ramai', 'orang', 'gagal', 'ansuran', 'kereta', 'sedar', 'memakai', 'up', 'kereta', 'melebihi', 'belanja', 'poket', 'sedar', 'sedar', 'ruang', 'seadanya', 'shj']"
13,@abbelsyarief_ lawakan lu kurang krn gagal jadi pres bel?,Neutral,"['lawakan', 'lu', 'gagal', 'pre', 'bel']"
14,"Alhamdulillah lebih memilih tidur daripada liat Chelsea gagal menang, LAGI.",Positive,"['alhamdulillah', 'memilih', 'tidur', 'lihat', 'chelsea', 'gagal', 'menang']"
15,"Punya temen gagal percintaan mikir nya takdir dia begitu. 
Padahal Allah lagi memilih mana yg lebih pantas buat dia kan? Bukan berarti gagal dlm percintaan adalah takdir dia. 
Awal ga akan mulus tapi akhir mana tau kan?
Rencana tuhan itu ga ada yg tau sm kya takdir.",Neutral,"['teman', 'gagal', 'percintaan', 'mikir', 'nya', 'takdir', 'allah', 'memilih', 'gagal', 'percintaan', 'takdir', 'mulu', 'tau', 'rencana', 'tuhan', 'tau', 'kaya', 'takdir']"
16,hari ini terpantau seneng karena 2 tim big6 pada gagal menang 🤧,Neutral,"['terpantau', 'senang', 'tim', 'big', 'gagal', 'menang']"
17,"Gue emang gagal soalnya semalem tepat abis beberes rumah pasca kumpul keluarga🙂
Yaudah yg penting sebelum Mrs keluar ini kelar https://t.co/kDHFxOzxiy",Positive,"['gue', 'gagal', 'semalem', 'habi', 'beber', 'rumah', 'pasca', 'kumpul', 'keluarga', 'yaudah', 'mr', 'kelar']"
18,@codingfess web server gagal konek ke aplikasi,Neutral,"['web', 'server', 'gagal', 'konek', 'aplikasi']"
19,"@jipartsy Done all rules ya kakak..
Semg dpt caholnya FULLSUN

The best quote from FULLSUN 🔥
""Don't be afraid to fail, be afraid not to try""

It's mean a lot sekaliiii buat kita semua..
ini nyemangatin kita banget buat jangan
pernah khawatir untuk gagal ketika kita
sedang mencoba hal baru https://t.co/Nd9oSPXcrz",Neutral,"['done', 'all', 'rule', 'ya', 'kakak', 'semg', 'caholnya', 'fullsun', 'the', 'best', 'quot', 'from', 'fullsun', 'dont', 'be', 'afraid', 'fail', 'be', 'afraid', 'not', 'tri', 'it', 'mean', 'a', 'lot', 'nyemangatin', 'banget', 'khawatir', 'gagal', 'mencoba']"
20,"Jika peluang maksiat yang gagal diambil masih kita sedihkan, itu penanda ada bagian hati yang harus dirawat inap;)",Neutral,"['peluang', 'maksiat', 'gagal', 'diambil', 'sedihkan', 'penanda', 'hati', 'dirawat', 'inap']"
21,"“Akan lebih baik gagal di dalam sebuah orisinalitas dibandingkan sukses hanya dalam imitasi” – Herman Melville
#quotesday # #BRORIVAICenter",Neutral,"['gagal', 'orisinalita', 'dibandingkan', 'suks', 'imitasi', 'herman', 'melvil']"
22,"@pln_123 mohon infonya saat masukan nomor voucher keluar notif ""gagal"" terus, itu kenapa ya?",Positive,"['mohon', 'infonya', 'masukan', 'nomor', 'voucher', 'notif', 'gagal', 'ya']"
23,"Gagal dalam kemuliaan itu akan lebih baik, daripada menang di dalam rasa kehinaan dan juga kecurangan. Gagal / Sukses",Neutral,"['gagal', 'kemuliaan', 'menang', 'kehinaan', 'kecurangan', 'gagal', 'suks']"
