,Date,User,Tweet,Hashtags,Like,Retweet,Reply,text_clean,text_preprocessed,Result Prediction
0,2023-01-01,RudiantoQ,@Paltiwest Amit2... lu... jadi presiden...,,0,0,0,amit lu jadi presiden,"['amit', 'lu', 'presiden']",Neutral
1,2023-01-01,bdleonanda,"Artikel tersebut mencatat, “Pihak Rusia… sebenarnya siap untuk pertemuan Zelenskyy-Putin. Tetapi dua hal terjadi, setelah itu seorang anggota delegasi Ukraina, Mykhailo Podoliak, harus mengakui secara terbuka bahwa ini 'bukan waktunya' untuk pertemuan para presiden.”",,4,1,1,artikel tersebut mencatat pihak rusia sebenarnya siap untuk pertemuan zelenskyyputin tetapi dua hal terjadi setelah itu seorang anggota delegasi ukraina mykhailo podoliak harus mengakui secara terbuka bahwa ini bukan waktunya untuk pertemuan para presiden,"['artikel', 'mencatat', 'rusia', 'pertemuan', 'zelenskyyputin', 'anggota', 'delegasi', 'ukraina', 'mykhailo', 'podoliak', 'mengakui', 'terbuka', 'pertemuan', 'presiden']",Positive
2,2023-01-01,PresidenKWsuper,"@ruhutsitompul Hormati Hukum, apapunyg melanggar hukum harus ditindak..
Telinga masih aman? https://t.co/rn5BcpHC2o",,6,0,0,hormati hukum apapunyg melanggar hukum harus ditindak telinga masih aman,"['hormati', 'hukum', 'apapunyg', 'melanggar', 'hukum', 'ditindak', 'telinga', 'aman']",Positive
3,2023-01-01,H4mdB,"Di Kandang Sendiri Tak Bisa Urus Banjir, Gimana Ganjar Jadi Presiden?
#TahunBaruMerugi
#TahunBaruMerugi
https://t.co/RjRkGvjigH #TahunBaruMerugi","['TahunBaruMerugi', 'TahunBaruMerugi', 'TahunBaruMerugi']",4,3,2,di kandang sendiri tak bisa urus banjir bagaimana ganjar jadi presiden,"['kandang', 'uru', 'banjir', 'ganjar', 'presiden']",Positive
4,2023-01-01,Probo_Arkana,@gibran_tweet Dadhio presiden pak. Tak dukung e,,0,0,0,tweet dadhio presiden pak tak dukung e,"['tweet', 'dadhio', 'presiden', 'dukung', 'e']",Positive
5,2023-01-01,Ariefff92839705,"@ruhutsitompul Mantan gubernur bangga dia bikin lobang untuk jebakan supaya orang terperosok ke lubang galian ikan lele, yg begini nau jadi presiden, mimpiiii kali",,0,0,0,mantan gubernur bangga dia bikin lobang untuk jebakan supaya orang terperosok ke lubang galian ikan lele yang begini nau jadi presiden mimpiiii kali,"['mantan', 'gubernur', 'bangga', 'bikin', 'lobang', 'jebakan', 'orang', 'terperosok', 'lubang', 'galian', 'ikan', 'lele', 'nau', 'presiden', 'mimpiiii', 'kali']",Neutral
6,2023-01-01,Cindy1nb,@dahliadany1 Penilaian dari Pak Jokowi sangat tepat Pak Ganjar sangat cocok  menjadi the next Presiden  #ganjarpranowo #ganjar_pranowo #ganjarkita,"['ganjarpranowo', 'ganjar_pranowo', 'ganjarkita']",0,0,0,penilaian dari pak jokowi sangat tepat pak ganjar sangat cocok menjadi the next presiden pranowo,"['penilaian', 'jokowi', 'ganjar', 'cocok', 'the', 'next', 'presiden', 'pranowo']",Positive
7,2023-01-01,schfess,"sch! kalian belajar snbt pake buku apa??? plz kasih tau akuuuuu 😭😭

✄・・・
🧐 Trivia: Presiden pertama Indonesia adalah Ir. Soekarno",,11,0,5,sch kalian belajar snbt pakai buku apa plz kasih tau akuuuuu trivia presiden pertama indonesia adalah ir soekarno,"['sch', 'belajar', 'snbt', 'pakai', 'buku', 'plz', 'kasih', 'tau', 'akuuuuu', 'trivia', 'presiden', 'indonesia', 'ir', 'soekarno']",Positive
8,2023-01-01,latief1163,"Contoh kiat presidennya, klu jadi presiden banjir Jateng mudah ditangani. https://t.co/OSmELRivGb",,0,0,0,contoh kiat presidennya kalau jadi presiden banjir jateng mudah ditangani,"['contoh', 'kiat', 'presidennya', 'presiden', 'banjir', 'jateng', 'mudah', 'ditangani']",Positive
9,2023-01-01,endel_maria,"@awemany Yg ada dlm Fikiran Presiden itu Apa Yaa...?  
HOBY BGT MENYIKSA RAKYAT...??? 
BBM di Naikkan.
Semua yg ada d Indonesia dikenai Pajak dan di Naikkan.
Semua hrg Makanan Tinggi.
BPJS d Wajibkan. 
Semua yg Bergerak dikasi Aturan. Dikritik di Penjara🤷‍♂️

O",,0,0,0,yang ada dalam pikiran presiden itu apa ya hoby banget menyiksa rakyat bbm di naikkan semua yang ada di indonesia dikenai pajak dan di naikkan semua hrg makanan tinggi bpjs di wajibkan semua yang bergerak dikasi aturan dikritik di penjara o,"['pikiran', 'presiden', 'ya', 'hobi', 'banget', 'menyiksa', 'rakyat', 'bbm', 'naikkan', 'indonesia', 'dikenai', 'pajak', 'naikkan', 'hrg', 'makanan', 'bpj', 'wajibkan', 'bergerak', 'dikasi', 'aturan', 'dikritik', 'penjara', 'o']",Positive
