created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Nov 16 23:54:47 +0000 2023;1725301418452722086;"@Roberto16279870 @trikartikatika1 @AbahDeon Huahaha Yahudi pesek,,bro palestina itu ibarat Indonesia dijajah Belanda,palestina udh ada sblm nabi Musa as hijrah dr Mesir bawa Bani Israil yg muslim,kejadian dimulai Yahudi tiup terompetnya di nesjidil Aqsa bln september.ibarat rumah lu diberaki orang.https://t.co/7IoAnjjPnY";0;1;0;0;in;1161838173363642368;1720333972939673746;cheagusto;https://twitter.com/cheagusto/status/1725301418452722086
Thu Nov 16 23:42:49 +0000 2023;1725298407902949564;"Informasi ini penting banget buat kalian yang suka Sprite! jangan percaya pesan WhatsApp yang bilang ada 121 produk pro Israel di Indonesia. Itu hoax! MUI udah keluarin fatwa haram terhadap dukungan terhadap agresi Israel ke Palestina. Jadi,";0;0;0;0;in;1673610192603484161;1725298407902949564;alfianburhan1;https://twitter.com/alfianburhan1/status/1725298407902949564
Thu Nov 16 23:39:32 +0000 2023;1725297583072125172;"Jokowi Tegaskan Indonesia Teguh Perjuangkan Kemerdekaan Palestina  Presiden Joko Widodo memastikan bahwa posisi Indonesia dalam memperjuangkan kemerdekaan Palestina tetap kokoh. Hal ini sesuai dengan amanat konstitusi UUD 1945.  Sananta Irak Arhan KDRT #TimnasDay Asnawi Nadeo https://t.co/Q6PTSF7j9f";1;3;11;13;in;1009255291790036992;1725297583072125172;aiiptu;https://twitter.com/aiiptu/status/1725297583072125172
Thu Nov 16 23:34:46 +0000 2023;1725296381047574880;"@Sam_Ardi @EnricoE39 simpati dan solidaritas dari masyarakat Palestina dan pergerakan nasionalis Palestina terhadap perjuangan kemerdekan Indonesia. Dukungan ini lebih banyak dilakukan melalui berbagai kelompok aktivis, media, dan gerakan sosial yang mendukung perjuangan kemerdekaan Indonesia secara";0;1;0;0;in;2162193204;1016115119321800705;ruditodw;https://twitter.com/ruditodw/status/1725296381047574880
Thu Nov 16 23:33:38 +0000 2023;1725296096032051646;"@Sam_Ardi @EnricoE39 Palestina pada tahun 1945 belum secara resmi menjadi sebuah negara yang terbentuk. Pada waktu itu, wilayah Palestina masih menjadi bagian dari Mandat Britania atas Palestina dan belum merdeka. Dukungan Palestina terhadap kemerdekaan Indonesia pada tahun tersebut lebih bersifat";0;0;0;1;in;2162193204;1016115119321800705;ruditodw;https://twitter.com/ruditodw/status/1725296096032051646
Thu Nov 16 23:31:43 +0000 2023;1725295613213135102;"@Sam_Ardi @EnricoE39 Pada tahun 1945, Palestina sebagai entitas politik formal belum ada secara de jure atau secara hukum mengakui kemerdekaan Indonesia. Namun, dukungan moral dan simpati terhadap perjuangan kemerdekaan Indonesia dapat terlihat dari semangat nasionalisme yang tersebar di kalangan";0;0;0;0;in;2162193204;1016115119321800705;ruditodw;https://twitter.com/ruditodw/status/1725295613213135102
Thu Nov 16 23:31:18 +0000 2023;1725295509487886452;"@bhaktiutama @Mulalt_ Sama seperti pemberontakan 7 Oktober adalah hasil dari provokasi Israel terhadap ketidakadilan yang mereka lakukan terhadap Palestina, begitupula juga pemberontakan masyarakat Papua terhadap penjajahan Indonesia.";0;1;0;0;in;1068738449455276032;1725054123631088056;SharifAttamimi;https://twitter.com/SharifAttamimi/status/1725295509487886452
Thu Nov 16 23:27:29 +0000 2023;1725294547532439991;"Tailândia 1-2 China Tajiquistão 1-1 Jordânia Omã 3-0 China Taipei Líbano 0-0 Palestina Turcomenistão 1-3 Uzbequistão Malásia 4-3 Quirguistão Iraque 5-1 Indonésia Arábia Saudita 4-0 Paquistão Irã 4-0 Hong Kong Catar 8-1 Afeganistão Síria 1-0 Coréia do Norte Kuwait 0-1 Índia +";0;1;0;0;pt;1344371430750871553;1725294486228541937;AmorPelaBola1;https://twitter.com/AmorPelaBola1/status/1725294547532439991
Thu Nov 16 23:21:52 +0000 2023;1725293134761050230;"@prsetiadi @kompascom kocak lu gatau fakta dilapangan ga usah komen udh berkali2 rohingya ke aceh udh di kasi tempat buat ngungsi dikasi makan mereka nya ngelunjak, lu mau dijajah ya ntar blg klo indonesia tanah rohingya kaya israel ngaku palestina pnya mereka pdhl dlu numpang di palestina";0;0;0;7;in;1275055979311185926;1725041427745567107;jmparkjim;https://twitter.com/jmparkjim/status/1725293134761050230
Thu Nov 16 23:19:19 +0000 2023;1725292492399198329;"@LiviusX @kompascom kocak lu gatau fakta dilapangan ga usah komen udh berkali2 rohingya ke aceh udh di kasi tempat buat ngungsi dikasi makan mereka nya ngelunjak, lu mau dijajah ya ntar blg klo indonesia tanah rohingya kaya israel ngaku palestina pnya mereka pdhl dlu numpang di palestina";0;0;0;7;in;1275055979311185926;1725041427745567107;jmparkjim;https://twitter.com/jmparkjim/status/1725292492399198329
